Title,Price,Location,Kilometers,Link
1999 Mazda MX-5,"$2,000","Roxburgh, Otago","188,500 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5024900402?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1993 Mazda MX-5,"$3,000","Kerikeri, Northland","268,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5056952475?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
2000 Mazda MX-5,"$4,500","Wellington City, Wellington","282,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5061191812?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1990 Mazda MX-5,"$5,000","Wellington City, Wellington","166,400 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5061150061?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1990 Mazda MX-5,"$6,500","Maungaturoto, Northland","256,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060376532?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1992 Mazda MX-5,"$6,500","Franklin, Auckland","235,249 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5061013839?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
2006 Mazda MX-5,"$7,000","Auckland City, Auckland","133,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060506176?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1998 Mazda MX-5,"$8,500","Te Puke, Bay of Plenty","264,439 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4950326261?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1991 Mazda MX-5,"$8,500","Christchurch City, Canterbury","187,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5055390549?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
2006 Mazda MX-5,"$8,990","Auckland, Auckland","196,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5064811028?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
2000 Mazda MX-5,"$9,000","Christchurch City, Canterbury","215,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5003519589?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1991 Mazda MX-5,"$9,000","Manukau, Auckland","150,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5031217359?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1992 Mazda MX-5,"$9,000","Waitakere, Auckland",182 km,https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5064117099?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
2006 Mazda MX-5,"$9,499","Tauranga, Bay of Plenty","194,519 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4928353535?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
2001 Mazda MX-5,"$9,900","Paihia, Northland","194,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5002861952?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1992 Mazda MX-5,"$9,995","New Plymouth, Taranaki","206,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5031161842?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1992 Mazda MX-5,"$9,999","Christchurch City, Canterbury","197,300 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5031492755?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1996 Mazda MX-5,"$9,999","Manukau, Auckland","183,001 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060785860?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1994 Mazda MX-5,"$10,000","Albany, Auckland","191,679 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4987517282?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
1990 Mazda MX-5,"$10,000","Auckland City, Auckland","195,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5022947804?rsqid=b84a81ffa9d644eeb416089ed046b49b-001
2001 Mazda MX-5,"$10,000","Blenheim, Marlborough","83,158 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5050214869?rsqid=d359cf43503043148e19eb1dd0341761-001
1997 Mazda MX-5,"$10,000","Tauranga, Bay of Plenty","108,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5059772767?rsqid=d359cf43503043148e19eb1dd0341761-001
2000 Mazda MX-5,"$10,000","Selwyn, Canterbury","102,500 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060326681?rsqid=d359cf43503043148e19eb1dd0341761-001
1989 Mazda MX-5,"$10,500","Christchurch City, Canterbury","149,643 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060180880?rsqid=d359cf43503043148e19eb1dd0341761-001
1994 Mazda MX-5,"$10,800","Franklin, Auckland","185,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4988929295?rsqid=d359cf43503043148e19eb1dd0341761-001
1998 Mazda MX-5,"$10,900","Manukau, Auckland","158,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5048522477?rsqid=d359cf43503043148e19eb1dd0341761-001
1999 Mazda MX-5,"$10,990","Dunedin, Otago","106,354 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4924979621?rsqid=d359cf43503043148e19eb1dd0341761-001
2006 Mazda MX-5,"$10,990","Motueka, Nelson Bays","127,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5028079782?rsqid=d359cf43503043148e19eb1dd0341761-001
1991 Mazda MX-5,"$10,990","Golden Bay, Nelson Bays","154,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5044144400?rsqid=d359cf43503043148e19eb1dd0341761-001
1989 Mazda MX-5,"$11,499","Palmerston North, Manawatu",10 km,https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5053691083?rsqid=d359cf43503043148e19eb1dd0341761-001
1995 Mazda MX-5,"$11,500","Dunedin, Otago","161,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060463230?rsqid=d359cf43503043148e19eb1dd0341761-001
1998 Mazda MX-5,"$11,900","North Shore, Auckland","169,272 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4965646583?rsqid=d359cf43503043148e19eb1dd0341761-001
2005 Mazda MX-5,"$12,000","Kapiti, Wellington","68,200 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060264689?rsqid=d359cf43503043148e19eb1dd0341761-001
2006 Mazda MX-5,"$12,200","Te Awamutu, Waikato","164,393 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4980834795?rsqid=d359cf43503043148e19eb1dd0341761-001
2006 Mazda MX-5,"$12,499","Auckland City, Auckland","125,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5058548819?rsqid=d359cf43503043148e19eb1dd0341761-001
1989 Mazda MX-5,"$12,500","Christchurch City, Canterbury","145,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4965470731?rsqid=d359cf43503043148e19eb1dd0341761-001
2001 Mazda MX-5,"$12,500","Tauranga, Bay of Plenty","105,236 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5044082747?rsqid=d359cf43503043148e19eb1dd0341761-001
2002 Mazda MX-5,"$12,900","North Shore, Auckland","136,900 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060368082?rsqid=d359cf43503043148e19eb1dd0341761-001
1998 Mazda MX-5,"$13,490",Bay of Plenty,"115,544 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5035434172?rsqid=d359cf43503043148e19eb1dd0341761-001
2001 Mazda MX-5,"$13,500","Auckland City, Auckland","133,229 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5033605165?rsqid=d359cf43503043148e19eb1dd0341761-001
