Title,Price,Location,Kilometers,Link
1990 Mazda MX-5,"$4,000","Christchurch City, Canterbury","286,917 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5083313726?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1990 Mazda MX-5,"$6,500","Maungaturoto, Northland","256,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5086419971?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1998 Mazda MX-5,"$8,500","Te Puke, Bay of Plenty","264,439 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4950326261?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1991 Mazda MX-5,"$8,500","Christchurch City, Canterbury","187,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5055390549?rsqid=2e979bce4bd143f7a7d6717496c95676-001
2006 Mazda MX-5,"$8,990","Auckland, Auckland","196,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5064811028?rsqid=2e979bce4bd143f7a7d6717496c95676-001
2000 Mazda MX-5,"$9,000","Christchurch City, Canterbury","215,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5003519589?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1992 Mazda MX-5,"$9,000","Waitakere, Auckland",182 km,https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5064117099?rsqid=2e979bce4bd143f7a7d6717496c95676-001
2006 Mazda MX-5,"$9,499","Tauranga, Bay of Plenty","194,519 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5083871476?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1994 Mazda MX-5,"$9,500","Lower Hutt City, Wellington","241,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5068376795?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1990 Mazda MX-5,"$9,500","Masterton, Wairarapa","147,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5072139675?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1999 Mazda MX-5,"$9,990","Dunedin, Otago","106,354 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4924979621?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1990 Mazda MX-5,"$9,990","New Plymouth, Taranaki","231,980 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5091301249?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1992 Mazda MX-5,"$9,995","New Plymouth, Taranaki","206,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5083299520?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1994 Mazda MX-5,"$10,000","Albany, Auckland","191,679 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4987517282?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1997 Mazda MX-5,"$10,000","Tauranga, Bay of Plenty","108,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5059772767?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1990 Mazda MX-5,"$10,000","Auckland City, Auckland","195,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5075118454?rsqid=2e979bce4bd143f7a7d6717496c95676-001
2001 Mazda MX-5,"$10,000","Blenheim, Marlborough","83,158 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5089222748?rsqid=2e979bce4bd143f7a7d6717496c95676-001
2000 Mazda MX-5,"$10,000","Selwyn, Canterbury","102,500 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5089334639?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1989 Mazda MX-5,"$10,000","Waitakere, Auckland",250 km,https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5094572389?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1991 Mazda MX-5,"$10,300","North Shore, Auckland","157,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5071836022?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1989 Mazda MX-5,"$10,500","Christchurch City, Canterbury","149,643 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060180880?rsqid=2e979bce4bd143f7a7d6717496c95676-001
1994 Mazda MX-5,"$10,800","Franklin, Auckland","185,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4988929295?rsqid=e50a30df9a034b2cae2301acea776beb-001
1998 Mazda MX-5,"$10,900","Manukau, Auckland","158,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5048522477?rsqid=e50a30df9a034b2cae2301acea776beb-001
1991 Mazda MX-5,"$10,990","Golden Bay, Nelson Bays","154,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5044144400?rsqid=e50a30df9a034b2cae2301acea776beb-001
1989 Mazda MX-5,"$11,499","Palmerston North, Manawatu",10 km,https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5053691083?rsqid=e50a30df9a034b2cae2301acea776beb-001
1995 Mazda MX-5,"$11,500","Dunedin, Otago","161,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060463230?rsqid=e50a30df9a034b2cae2301acea776beb-001
1998 Mazda MX-5,"$11,900","North Shore, Auckland","169,272 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4965646583?rsqid=e50a30df9a034b2cae2301acea776beb-001
2005 Mazda MX-5,"$12,000","Kapiti, Wellington","68,200 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060264689?rsqid=e50a30df9a034b2cae2301acea776beb-001
2006 Mazda MX-5,"$12,200","Te Awamutu, Waikato","164,393 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4980834795?rsqid=e50a30df9a034b2cae2301acea776beb-001
1989 Mazda MX-5,"$12,500","Christchurch City, Canterbury","145,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4965470731?rsqid=e50a30df9a034b2cae2301acea776beb-001
