Title,Price,Location,Kilometers,Link
2004 Nissan Fairlady,"$11,500","New Plymouth, Taranaki","200,500 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5060494460?rsqid=6b053affc5484201b6045248a22317c1-001
2005 Nissan Fairlady,"$11,995","Auckland, Auckland","162,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5002358206?rsqid=6b053affc5484201b6045248a22317c1-001
2006 Nissan Fairlady,"$12,000","Christchurch City, Canterbury","92,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5012788079?rsqid=6b053affc5484201b6045248a22317c1-001
1996 Nissan Fairlady,"$12,000","Auckland City, Auckland","202,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/4965314110?rsqid=6b053affc5484201b6045248a22317c1-001
2005 Nissan Fairlady,"$12,000","Dunedin, Otago","178,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5029973708?rsqid=6b053affc5484201b6045248a22317c1-001
2004 Nissan Fairlady,"$12,000","Waitakere, Auckland","198,151 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5050973075?rsqid=6b053affc5484201b6045248a22317c1-001
2005 Nissan Fairlady,"$12,000","Rolleston, Canterbury","155,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5060034612?rsqid=6b053affc5484201b6045248a22317c1-001
2005 Nissan Fairlady,"$12,500","Whangarei, Northland","126,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5005969567?rsqid=6b053affc5484201b6045248a22317c1-001
2005 Nissan Fairlady,"$12,500","Masterton, Wairarapa","182,807 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5011800431?rsqid=6b053affc5484201b6045248a22317c1-001
2006 Nissan Fairlady,"$12,500","Christchurch City, Canterbury","126,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5048811942?rsqid=6b053affc5484201b6045248a22317c1-001
2004 Nissan Fairlady,"$12,850","Ohakune, Whanganui","176,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5060061973?rsqid=6b053affc5484201b6045248a22317c1-001
2007 Nissan Fairlady,"$12,900","Waitakere, Auckland","202,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5012566577?rsqid=6b053affc5484201b6045248a22317c1-001
2005 Nissan Fairlady,"$12,990","Levin, Manawatu","80,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/4990186384?rsqid=6b053affc5484201b6045248a22317c1-001
2006 Nissan Fairlady,"$13,000","Albany, Auckland","175,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5047980416?rsqid=6b053affc5484201b6045248a22317c1-001
2005 Nissan Fairlady,"$13,000","Dunedin, Otago","248,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5061652143?rsqid=6b053affc5484201b6045248a22317c1-001
2006 Nissan Fairlady,"$13,500","Tauranga, Bay of Plenty","156,445 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5047264702?rsqid=6b053affc5484201b6045248a22317c1-001
2004 Nissan Fairlady,"$13,500","Thames, Waikato","190,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5065777523?rsqid=6b053affc5484201b6045248a22317c1-001
2005 Nissan Fairlady,"$13,980","Christchurch City, Canterbury","175,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5060990644?rsqid=6b053affc5484201b6045248a22317c1-001
2003 Nissan Fairlady,"$13,990","Auckland, Auckland","102,342 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/4964017592?rsqid=6b053affc5484201b6045248a22317c1-001
2006 Nissan Fairlady,"$13,999","Selwyn, Canterbury","164,890 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/4966357896?rsqid=6b053affc5484201b6045248a22317c1-001
2009 Nissan Fairlady,"$14,000","Kerikeri, Northland","171,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5062699945?rsqid=6b053affc5484201b6045248a22317c1-001
1993 Nissan Fairlady,"$14,250","Whanganui, Whanganui","95,900 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5016766118?rsqid=6b053affc5484201b6045248a22317c1-001
2005 Nissan Fairlady,"$14,500","Hamilton, Waikato","100,609 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5060673448?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2007 Nissan Fairlady,"$14,500","Hastings, Hawke's Bay","220,000 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5065738483?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
2008 Nissan Fairlady,"$14,980","Hamilton, Waikato","127,100 km",https://www.trademe.co.nz/a/motors/cars/nissan/fairlady/listing/5028240458?rsqid=09c31dd483de4e4bb52ef002ec1f4abd-001
