Date,Title,Price,Location,Kilometers
2024-12-11,1998 Mazda MX-5,1.0,"Tokoroa/Putaruru, Waikato",0 km
2024-12-11,1997 Mazda MX-5,515.0,"Botany Downs, Auckland","310,000 km"
2024-12-11,1999 Mazda MX-5,2000.0,"Roxburgh, Otago","188,500 km"
2024-12-11,1993 Mazda MX-5,3000.0,"Kerikeri, Northland","268,000 km"
2024-12-11,2000 Mazda MX-5,4500.0,"Wellington City, Wellington","282,000 km"
2024-12-11,1990 Mazda MX-5,5000.0,"Wellington City, Wellington","166,400 km"
2024-12-11,1990 Mazda MX-5,6500.0,"Maungaturoto, Northland","256,000 km"
2024-12-11,1992 Mazda MX-5,6500.0,"Franklin, Auckland","235,249 km"
2024-12-11,2006 Mazda MX-5,7000.0,"Auckland City, Auckland","133,000 km"
2024-12-11,1998 Mazda MX-5,8500.0,"Te Puke, Bay of Plenty","264,439 km"
2024-12-11,1991 Mazda MX-5,8500.0,"Christchurch City, Canterbury","187,000 km"
2024-12-11,2006 Mazda MX-5,8990.0,"Auckland, Auckland","196,000 km"
2024-12-11,2000 Mazda MX-5,9000.0,"Christchurch City, Canterbury","215,000 km"
2024-12-11,1991 Mazda MX-5,9000.0,"Manukau, Auckland","150,000 km"
2024-12-11,1992 Mazda MX-5,9000.0,"Waitakere, Auckland",182 km
2024-12-11,2006 Mazda MX-5,9499.0,"Tauranga, Bay of Plenty","194,519 km"
2024-12-11,2001 Mazda MX-5,9900.0,"Paihia, Northland","194,000 km"
2024-12-11,1992 Mazda MX-5,9995.0,"New Plymouth, Taranaki","206,000 km"
2024-12-11,1992 Mazda MX-5,9999.0,"Christchurch City, Canterbury","197,300 km"
2024-12-11,1996 Mazda MX-5,9999.0,"Manukau, Auckland","183,001 km"
2024-12-11,1994 Mazda MX-5,10000.0,"Albany, Auckland","191,679 km"
2024-12-11,1990 Mazda MX-5,10000.0,"Auckland City, Auckland","195,000 km"
2024-12-11,2001 Mazda MX-5,10000.0,"Blenheim, Marlborough","83,158 km"
2024-12-11,1997 Mazda MX-5,10000.0,"Tauranga, Bay of Plenty","108,000 km"
2024-12-11,2000 Mazda MX-5,10000.0,"Selwyn, Canterbury","102,500 km"
2024-12-11,1989 Mazda MX-5,10500.0,"Christchurch City, Canterbury","149,643 km"
2024-12-11,1994 Mazda MX-5,10800.0,"Franklin, Auckland","185,000 km"
2024-12-11,1998 Mazda MX-5,10900.0,"Manukau, Auckland","158,000 km"
2024-12-11,1999 Mazda MX-5,10990.0,"Dunedin, Otago","106,354 km"
2024-12-11,2006 Mazda MX-5,10990.0,"Motueka, Nelson Bays","127,000 km"
2024-12-11,1991 Mazda MX-5,10990.0,"Golden Bay, Nelson Bays","154,000 km"
2024-12-11,1989 Mazda MX-5,11499.0,"Palmerston North, Manawatu",10 km
2024-12-11,1995 Mazda MX-5,11500.0,"Dunedin, Otago","161,000 km"
2024-12-11,1998 Mazda MX-5,11900.0,"North Shore, Auckland","169,272 km"
2024-12-11,2005 Mazda MX-5,12000.0,"Kapiti, Wellington","68,200 km"
2024-12-11,2006 Mazda MX-5,12200.0,"Te Awamutu, Waikato","164,393 km"
2024-12-11,2006 Mazda MX-5,12499.0,"Auckland City, Auckland","125,000 km"
